hre = no
discovered_by = japanese_tech
discovered_by = ainu_tech




add_core = UES
add_core = NGN
owner = UES
controller = UES

culture = nishi_kanto_c
religion = shinto
capital = "Kanayama"
is_city = yes
barracks = yes
shrine = yes

base_tax = 5
base_production = 5
base_manpower = 3

trade_goods = sake

1554.3.1 = {
    add_core = HJO
    controller = HJO
    owner = HJO
	add_core = TKD
	shrine_town = yes
}

1569.10.10 = {
    add_core = TKD
    controller = TKD
    owner = TKD
}

1582.6.21 = {
	add_core = TAK
    owner = TAK
    controller = TAK
	remove_core = NGN
	remove_core = HJO
	remove_core = UES
	remove_core = TKD
}

1600.9.13 = {
	add_core = TKG
    owner = TKG
    controller = TKG
	add_core = OKU
	remove_core = TAK
}

1615.1.1 = {
	add_core = UES
    owner = UES
    controller = UES
	remove_core = TKG
}
